PLATFORM_NUMBER,EDMO_CODE
1901605,1440
1901606,1440
1901607,1440
1901608,1390
1901609,1390
1901610,1390
1901611,1390
1901612,1390
1901613,1390
1901614,1440
1901615,1440
1901616,3844
1901617,3844
1901618,3844
1901619,3844
1901620,3844
1901621,3844
1901622,3844
1901623,3844
1901624,3844
1901625,3844
1901626,3844
1901627,3844
1901628,3844
1901629,3844
1901630,3844
1901631,3844
1901632,3844
1901633,3844
1901634,3844
1901635,3844
1901636,3844
1901637,3844
1901638,3844
1901639,3844
1901640,3844
1901641,3844
1901642,3844
1901643,3844
1901644,3844
1901645,3844
1901646,3844
1901647,3844
1901648,3844
1901649,3844
1901650,3844
1901651,3844
1901652,3844
1901653,3844
1901654,3844
1901655,3844
1901656,3844
1901657,3844
1901658,3844
1901659,3844
1901660,3844
1901661,3844
1901662,3844
1901663,3844
1901664,3844
1901665,3844
1901666,3844
1901667,3844
1901668,3844
1901669,3844
1901670,3844
1901671,3844
1901672,3844
1901673,3844
1901674,3844
1901675,3844
1901676,3844
1901677,3844
1901678,3844
1901679,3844
1901680,3844
1901681,3844
1901682,3844
1901683,3844
1901684,3844
1901685,3844
1901686,3844
1901687,3844
1901688,3844
1901689,3844
1901690,3844
1901691,3844
1901692,3844
1901693,3844
1901694,3844
1901695,3844
1901696,3844
1901697,3844
1901698,3844
1901699,3844
1901700,3844
1901701,3844
1901702,3844
1901703,3844
1901704,3844
1901705,3844
1901706,3844
1901707,3844
1901708,3844
1901709,3844
1901710,3844
1901711,3844
1901712,3844
1901713,3844
1901714,3844
1901715,3844
1901716,3844
1901717,3844
1901718,3844
1901719,3844
1901720,3844
1901721,3844
1901722,3844
1901723,3844
1901724,3844
1901725,3844
1901726,3844
1901727,3844
1901728,3844
1901729,3844
1901730,3844
1901731,3844
1901732,3844
1901733,3844
1901734,1484
1901735,1484
1901736,1484
1901737,1484
1901738,1484
1901739,1484
1901740,1484
1901741,1484
1901742,1484
1901743,1484
1901744,1484
1901745,1484
1901746,1484
1901747,1484
1901748,1484
1901749,1484
1901750,1484
1901751,1484
1901752,1484
1901753,1484
1901754,1484
1901755,1484
1901756,1484
1901757,1484
1901758,1484
1901759,1484
1901760,1484
1901761,1484
1901762,1484
1901764,1484
1901765,1484
1901766,3945
1901767,3945
1901768,3945
1901769,3945
1901770,3945
1901771,3945
1901772,3945
1901784,3844
1901785,3844
1901786,1390
1901787,1390
1901788,1390
1901789,1390
1901790,1390
1901791,1390
1901792,1390
1901793,1390
1901794,1390
1901795,1390
1901796,1390
1901797,1390
1901798,1390
1901799,1390
1901800,1390
1901801,1440
1901802,1440
1901803,1440
1901804,1440
1901805,1440
1901806,3844
1901807,3844
1901808,3844
1901809,3844
1901810,3844
1901811,3844
1901812,3844
1901813,3844
1901814,3844
1901815,3844
1901816,3844
1901817,3844
1901818,3844
1901819,3844
1901820,3844
1901821,3844
1901822,3844
1901823,3844
1901824,3844
1901825,3844
1901826,3844
1901827,3844
